2021-01-01,Stampfenbachstrasse,SO2,h1,µg/m3,1.89,tentative
2021-01-01,Stampfenbachstrasse,NOx,h1,ppb,14.27,tentative
2021-01-01,Stampfenbachstrasse,NO,h1,µg/m3,2.38,tentative
2021-01-01,Stampfenbachstrasse,NO2,h1,µg/m3,23.64,tentative
2021-01-01,Stampfenbachstrasse,O3,h1,µg/m3,31.3,tentative
2021-01-01,Stampfenbachstrasse,PM10,h1,µg/m3,43.53,tentative
2021-01-01,Stampfenbachstrasse,PM2.5,h1,µg/m3,37.49,tentative
2021-01-01,Schimmelstrasse,NOx,h1,ppb,25.84,tentative
2021-01-01,Schimmelstrasse,NO,h1,µg/m3,10.87,tentative
2021-01-01,Schimmelstrasse,NO2,h1,µg/m3,32.74,tentative
2021-01-01,Schimmelstrasse,O3,h1,µg/m3,23.68,tentative
2021-01-01,Schimmelstrasse,PM10,h1,µg/m3,50.23,tentative
2021-01-01,Schimmelstrasse,PM2.5,h1,µg/m3,43.63,tentative
2021-01-01,Heubeeribüel,NOx,h1,ppb,8.46,tentative
2021-01-01,Heubeeribüel,NO,h1,µg/m3,0.94,tentative
2021-01-01,Heubeeribüel,NO2,h1,µg/m3,14.73,tentative
2021-01-01,Heubeeribüel,O3,h1,µg/m3,44.16,tentative
2021-01-01,Rosengartenstrasse,NOx,h1,ppb,24.75,tentative
2021-01-01,Rosengartenstrasse,NO,h1,µg/m3,8.99,tentative
2021-01-01,Rosengartenstrasse,NO2,h1,µg/m3,33.56,tentative
2021-01-01,Rosengartenstrasse,O3,h1,µg/m3,17.73,tentative
2021-01-01,Rosengartenstrasse,PM10,h1,µg/m3,48.51,tentative
2021-01-01,Rosengartenstrasse,PM2.5,h1,µg/m3,48.21,tentative
2021-01-01,Stampfenbachstrasse,CO,h1,mg/m3,0.18,tentative
2021-01-01,Stampfenbachstrasse,SO2,h1,µg/m3,1.37,tentative
2021-01-01,Stampfenbachstrasse,NOx,h1,ppb,12.28,tentative
2021-01-01,Stampfenbachstrasse,NO,h1,µg/m3,2.08,tentative
2021-01-01,Stampfenbachstrasse,NO2,h1,µg/m3,20.28,tentative
2021-01-01,Stampfenbachstrasse,O3,h1,µg/m3,40.87,tentative
2021-01-01,Stampfenbachstrasse,PM10,h1,µg/m3,20.82,tentative
2021-01-01,Stampfenbachstrasse,PM2.5,h1,µg/m3,18.02,tentative
2021-01-01,Schimmelstrasse,NOx,h1,ppb,23,tentative
2021-01-01,Schimmelstrasse,NO,h1,µg/m3,6.63,tentative
2021-01-01,Schimmelstrasse,NO2,h1,µg/m3,33.81,tentative
2021-01-01,Schimmelstrasse,O3,h1,µg/m3,24.59,tentative
2021-01-01,Schimmelstrasse,PM10,h1,µg/m3,33.48,tentative
2021-01-01,Schimmelstrasse,PM2.5,h1,µg/m3,29.23,tentative
2021-01-01,Heubeeribüel,NOx,h1,ppb,6.82,tentative
2021-01-01,Heubeeribüel,NO,h1,µg/m3,0.58,tentative
2021-01-01,Heubeeribüel,NO2,h1,µg/m3,12.15,tentative
2021-01-01,Heubeeribüel,O3,h1,µg/m3,46.87,tentative
2021-01-01,Rosengartenstrasse,NOx,h1,ppb,32.39,tentative
2021-01-01,Rosengartenstrasse,NO,h1,µg/m3,16.8,tentative
2021-01-01,Rosengartenstrasse,NO2,h1,µg/m3,36.18,tentative
2021-01-01,Rosengartenstrasse,O3,h1,µg/m3,25.41,tentative
2021-01-01,Rosengartenstrasse,PM10,h1,µg/m3,22.19,tentative
2021-01-01,Rosengartenstrasse,PM2.5,h1,µg/m3,21.56,tentative
2021-01-01,Stampfenbachstrasse,CO,h1,mg/m3,0.19,tentative
2021-01-01,Stampfenbachstrasse,SO2,h1,µg/m3,1.32,tentative
