Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,422,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,575","ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,26,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,C,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,C,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"3,665","ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,C,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,9,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,119,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,876,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,3,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,291,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"2,313","ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,C,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,440,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,466,"ANZSIC06 groups C241, C242, C243, and C244"
